,algo_volatility,algorithm_period_return,alpha,asset,benchmark_period_return,benchmark_volatility,beta,capital_used,ending_cash,ending_exposure,ending_value,excess_return,gross_leverage,information,long_exposure,long_value,longs_count,max_drawdown,max_leverage,net_leverage,orders,period_close,period_label,period_open,pnl,portfolio_value,positions,returns,sharpe,short_exposure,short_value,shorts_count,sortino,starting_cash,starting_exposure,starting_value,trading_days,transactions,treasury_period_return
2017-10-01 23:59:00+00:00,,0.0,,4404.3,0.0,,,0.0,1000.0,0.0,0.0,-0.0233,0.0,,0.0,0.0,0,0.0,0.0,0.0,"[{'stop': None, 'sid': Trading Pair btc_usd(98871) Exchange: bitfinex, Introduced On: 2013-03-31 00:00:00+00:00, Base Currency: btc, Quote Currency: usd, Exchange Leverage: 1.0, Minimum Trade Size: 0.0020000000949949026 Last daily ingestion: 2018-01-10 00:00:00+00:00 Last minutely ingestion: 2018-01-10 00:00:00+00:00, 'commission': 0, 'limit_reached': False, 'filled': 0, 'id': '2f1f3065913c4b8aa8f0bf2cdbaf77cd', 'dt': Timestamp('2017-10-01 23:59:00+0000', tz='UTC'), 'status': 0, 'amount': 1, 'stop_reached': False, 'created': Timestamp('2017-10-01 23:59:00+0000', tz='UTC'), 'limit': None, 'reason': None}]",2017-10-01 23:59:00+00:00,2017-10,2017-10-01 00:00:00+00:00,0.0,1000.0,[],0.0,,0,0,0,,1000.0,0.0,0.0,1,[],0.0233
2017-10-02 23:59:00+00:00,0.10373334036665144,-0.009241300458038504,,4400.2,0.0,0.0,,-4409.441300458038,-3409.4413004580383,4400.2,4400.2,-0.032541300458038505,4.441242859673359,-0.7071067811865476,4400.2,4400.2,1,-0.009241300458038495,0.0,4.441242859673359,"[{'stop': None, 'sid': Trading Pair btc_usd(98871) Exchange: bitfinex, Introduced On: 2013-03-31 00:00:00+00:00, Base Currency: btc, Quote Currency: usd, Exchange Leverage: 1.0, Minimum Trade Size: 0.0020000000949949026 Last daily ingestion: 2018-01-10 00:00:00+00:00 Last minutely ingestion: 2018-01-10 00:00:00+00:00, 'commission': 8.80128045803837, 'limit_reached': False, 'filled': 1, 'id': '2f1f3065913c4b8aa8f0bf2cdbaf77cd', 'dt': Timestamp('2017-10-02 23:59:00+0000', tz='UTC'), 'status': 1, 'amount': 1, 'stop_reached': False, 'created': Timestamp('2017-10-01 23:59:00+0000', tz='UTC'), 'limit': None, 'reason': None}, {'stop': None, 'sid': Trading Pair btc_usd(98871) Exchange: bitfinex, Introduced On: 2013-03-31 00:00:00+00:00, Base Currency: btc, Quote Currency: usd, Exchange Leverage: 1.0, Minimum Trade Size: 0.0020000000949949026 Last daily ingestion: 2018-01-10 00:00:00+00:00 Last minutely ingestion: 2018-01-10 00:00:00+00:00, 'commission': 0, 'limit_reached': False, 'filled': 0, 'id': '11f1ff9e2ef14bf0af8b05598992a365', 'dt': Timestamp('2017-10-02 23:59:00+0000', tz='UTC'), 'status': 0, 'amount': 1, 'stop_reached': False, 'created': Timestamp('2017-10-02 23:59:00+0000', tz='UTC'), 'limit': None, 'reason': None}]",2017-10-02 23:59:00+00:00,2017-10,2017-10-02 00:00:00+00:00,-9.241300458038495,990.7586995419615,"[{'cost_basis': 4409.441300458038, 'amount': 1, 'sid': Trading Pair btc_usd(98871) Exchange: bitfinex, Introduced On: 2013-03-31 00:00:00+00:00, Base Currency: btc, Quote Currency: usd, Exchange Leverage: 1.0, Minimum Trade Size: 0.0020000000949949026 Last daily ingestion: 2018-01-10 00:00:00+00:00 Last minutely ingestion: 2018-01-10 00:00:00+00:00, 'last_sale_price': 4400.2}]",-0.009241300458038495,-11.224972160321826,0,0,0,-11.224972160321824,1000.0,0.0,0.0,2,"[{'dt': Timestamp('2017-10-02 23:59:00+0000', tz='UTC'), 'sid': Trading Pair btc_usd(98871) Exchange: bitfinex, Introduced On: 2013-03-31 00:00:00+00:00, Base Currency: btc, Quote Currency: usd, Exchange Leverage: 1.0, Minimum Trade Size: 0.0020000000949949026 Last daily ingestion: 2018-01-10 00:00:00+00:00 Last minutely ingestion: 2018-01-10 00:00:00+00:00, 'commission': None, 'price': 4400.64002, 'amount': 1, 'order_id': '2f1f3065913c4b8aa8f0bf2cdbaf77cd'}]",0.0233
