index,close,high,low,open,price,volume
2017-08-18 00:01:00+00:00,4285.08,4285.08,4285.08,4285.08,4285.08,0.46342
2017-08-18 06:01:00+00:00,4313.56,4313.56,4300.0,4300.0,4313.56,0.621897
2017-08-18 12:01:00+00:00,4340.31,4340.31,4340.31,4340.31,4340.31,0.0
2017-08-18 18:01:00+00:00,4192.0,4192.0,4192.0,4192.0,4192.0,0.0
2017-08-19 00:01:00+00:00,4106.43999999,4108.37,4106.43999999,4108.37,4106.43999999,0.31727
2017-08-19 06:01:00+00:00,4077.0,4077.0,4077.0,4077.0,4077.0,0.0
2017-08-19 12:01:00+00:00,3945.12,3945.12,3945.12,3945.12,3945.12,0.0
2017-08-19 18:01:00+00:00,4027.37,4027.37,4027.37,4027.37,4027.37,0.0
2017-08-20 00:01:00+00:00,4139.97999998,4139.97999998,4139.97999998,4139.97999998,4139.97999998,0.0
2017-08-20 06:01:00+00:00,4117.41,4117.41,4117.41,4117.41,4117.41,0.0
2017-08-20 12:01:00+00:00,4106.53,4106.53,4106.53,4106.53,4106.53,0.012771000000000001
2017-08-20 18:01:00+00:00,4119.64999999,4119.64999999,4119.64999999,4119.64999999,4119.64999999,2.58422699
2017-08-21 00:01:00+00:00,4062.78,4062.78,4062.78,4062.78,4062.78,2.42356399
2017-08-21 06:01:00+00:00,4032.01,4032.01,4032.01,4032.01,4032.01,0.20535
2017-08-21 12:01:00+00:00,4023.11,4023.11,4023.11,4023.11,4023.11,0.0
2017-08-21 18:01:00+00:00,4015.0,4015.0,4015.0,4015.0,4015.0,0.0
2017-08-22 00:01:00+00:00,4016.0,4016.0,4016.0,4016.0,4016.0,0.11526700000000001
2017-08-22 06:01:00+00:00,3626.9900000000002,3626.9900000000002,3626.9900000000002,3626.9900000000002,3626.9900000000002,0.0
2017-08-22 12:01:00+00:00,3866.48,3866.48,3866.48,3866.48,3866.48,0.476763
2017-08-22 18:01:00+00:00,3971.83,3971.83,3953.13,3953.13,3971.83,0.344304
2017-08-23 00:01:00+00:00,4075.9,4075.9,4075.0,4075.0,4075.9,0.396305
2017-08-23 06:01:00+00:00,4073.0,4073.0,4073.0,4073.0,4073.0,0.258425
2017-08-23 12:01:00+00:00,4237.99,4237.99,4206.0,4237.99,4237.99,0.7232270000000001
2017-08-23 18:01:00+00:00,4166.27,4166.27,4166.27,4166.27,4166.27,0.589226
2017-08-24 00:01:00+00:00,4114.08,4114.09,4114.08,4114.09,4114.08,0.8995920000000001
2017-08-24 06:01:00+00:00,4173.99,4173.99,4173.0,4173.0,4173.99,0.065526
2017-08-24 12:01:00+00:00,4207.96,4224.64,4207.96,4211.78,4207.96,2.272001
2017-08-24 18:01:00+00:00,4188.18,4188.18,4188.18,4188.18,4188.18,0.325779
2017-08-25 00:01:00+00:00,4316.02,4326.95,4316.02,4326.95,4316.02,0.827577
2017-08-25 06:01:00+00:00,4294.79,4294.79,4294.79,4294.79,4294.79,0.740805
2017-08-25 12:01:00+00:00,4326.0,4360.78,4326.0,4360.78,4326.0,1.36562
2017-08-25 18:01:00+00:00,4388.88,4388.88,4388.88,4388.88,4388.88,0.0
