,algo_volatility,algorithm_period_return,alpha,benchmark_period_return,benchmark_volatility,beta,capital_used,cash,ending_cash,ending_exposure,ending_value,excess_return,gross_leverage,information,leverage,long_exposure,long_value,longs_count,max_drawdown,max_leverage,net_leverage,orders,period_close,period_label,period_open,pnl,portfolio_value,positions,price,returns,sharpe,short_exposure,short_value,shorts_count,sortino,starting_cash,starting_exposure,starting_value,trading_days,transactions,treasury_period_return,volume
2017-10-01 23:59:00+00:00,,0.0,,0.0,,,0.0,1000.0,1000.0,0.0,0.0,-0.0233,0.0,,0.0,0,0,0,0.0,0.0,0.0,[],2017-10-01 23:59:00+00:00,2017-10,2017-10-01 00:00:00+00:00,0.0,1000.0,[],4404.3,0.0,,0,0,0,,1000,0.0,0.0,1,[],0.0233,29229.5596396
2017-10-02 23:59:00+00:00,0.0,0.0,,0.0,0.0,,0.0,1000.0,1000.0,0.0,0.0,-0.0233,0.0,,0.0,0,0,0,0.0,0.0,0.0,[],2017-10-02 23:59:00+00:00,2017-10,2017-10-02 00:00:00+00:00,0.0,1000.0,[],4400.2,0.0,,0,0,0,,1000,0.0,0.0,2,[],0.0233,29071.3448318
