,algo_volatility,algorithm_period_return,alpha,benchmark_period_return,benchmark_volatility,beta,capital_used,ending_cash,ending_exposure,ending_value,excess_return,gross_leverage,information,long_exposure,long_value,longs_count,max_drawdown,max_leverage,net_leverage,orders,period_close,period_label,period_open,pnl,portfolio_value,positions,price,returns,rsi,sharpe,short_exposure,short_value,shorts_count,sortino,starting_cash,starting_exposure,starting_value,trading_days,transactions,treasury_period_return
2017-10-01 23:59:00+00:00,,0.0,,0.0,,,0.0,1000.0,0.0,0.0,-0.0233,0.0,,0.0,0.0,0,0.0,0.0,0.0,"[{'stop': None, 'sid': Trading Pair btc_usd(98871) Exchange: bitfinex, Introduced On: 2013-03-31 00:00:00+00:00, Base Currency: btc, Quote Currency: usd, Exchange Leverage: 1.0, Minimum Trade Size: 0.0020000000949949026 Last daily ingestion: 2018-01-10 00:00:00+00:00 Last minutely ingestion: 2018-01-10 00:00:00+00:00, 'commission': 0, 'limit_reached': False, 'filled': 0, 'id': 'b47275b3e7594398ad8818ce9d078bec', 'dt': Timestamp('2017-10-01 23:59:00+0000', tz='UTC'), 'status': 0, 'amount': 0.2, 'stop_reached': False, 'created': Timestamp('2017-10-01 23:59:00+0000', tz='UTC'), 'limit': 4492.386, 'reason': None}]",2017-10-01 23:59:00+00:00,2017-10,2017-10-01 00:00:00+00:00,0.0,1000.0,[],4404.3,0.0,54.863596115068425,,0,0,0,,1000.0,0.0,0.0,1,[],0.0233
2017-10-02 23:59:00+00:00,0.02074666807333029,-0.0018482600916076564,,0.0,0.0,,-881.8882600916077,118.11173990839234,880.04,880.04,-0.025148260091607658,0.8816695546518485,-0.7071067811865475,880.04,880.04,1,-0.0018482600916075852,0.8816695546518485,0.8816695546518485,"[{'stop': None, 'sid': Trading Pair btc_usd(98871) Exchange: bitfinex, Introduced On: 2013-03-31 00:00:00+00:00, Base Currency: btc, Quote Currency: usd, Exchange Leverage: 1.0, Minimum Trade Size: 0.0020000000949949026 Last daily ingestion: 2018-01-10 00:00:00+00:00 Last minutely ingestion: 2018-01-10 00:00:00+00:00, 'commission': 1.7602560916076742, 'limit_reached': True, 'filled': 0.2, 'id': 'b47275b3e7594398ad8818ce9d078bec', 'dt': Timestamp('2017-10-02 23:59:00+0000', tz='UTC'), 'status': 1, 'amount': 0.2, 'stop_reached': False, 'created': Timestamp('2017-10-01 23:59:00+0000', tz='UTC'), 'limit': 4492.386, 'reason': None}]",2017-10-02 23:59:00+00:00,2017-10,2017-10-02 00:00:00+00:00,-1.848260091607699,998.1517399083923,"[{'cost_basis': 4409.441300458038, 'amount': 0.2, 'sid': Trading Pair btc_usd(98871) Exchange: bitfinex, Introduced On: 2013-03-31 00:00:00+00:00, Base Currency: btc, Quote Currency: usd, Exchange Leverage: 1.0, Minimum Trade Size: 0.0020000000949949026 Last daily ingestion: 2018-01-10 00:00:00+00:00 Last minutely ingestion: 2018-01-10 00:00:00+00:00, 'last_sale_price': 4400.2}]",4400.2,-0.001848260091607699,59.11725625447776,-11.224972160321824,0,0,0,-11.224972160321823,1000.0,0.0,0.0,2,"[{'dt': Timestamp('2017-10-02 23:59:00+0000', tz='UTC'), 'sid': Trading Pair btc_usd(98871) Exchange: bitfinex, Introduced On: 2013-03-31 00:00:00+00:00, Base Currency: btc, Quote Currency: usd, Exchange Leverage: 1.0, Minimum Trade Size: 0.0020000000949949026 Last daily ingestion: 2018-01-10 00:00:00+00:00 Last minutely ingestion: 2018-01-10 00:00:00+00:00, 'commission': None, 'price': 4400.64002, 'amount': 0.2, 'order_id': 'b47275b3e7594398ad8818ce9d078bec'}]",0.0233
